642626,64.44043362,225707,22.95195155,135.2097,243.092
670753,67.1314848,235642,23.94490594,245.4871,344.472
642248,64.37999191,302310,30.38609266,244.2101,104.492
651209,65.20245893,241341,24.22800539,61.6646,290.643
664745,66.79574368,212709,21.45245151,269.2694,319.253
650728,65.1243469,300607,30.10196163,217.7149,84.612
652107,65.3520212,224625,22.77368165,131.2034,287.966
634114,63.68719324,201851,20.31420869,288.3547,241.621
663436,66.57677224,304919,30.82184689,299.7846,52.111
640739,64.12748744,282520,28.42225975,172.1057,123.52
651216,65.20456449,213024,21.50676279,186.5119,278.383
640627,64.10757681,272707,27.45202731,138.3139,135.761
643412,64.57011446,203415,20.57089384,236.9441,260.25
662752,66.46453596,301257,30.21579439,270.5164,51.2
640650,64.11397106,272710,27.45265059,137.8104,135.552
641908,64.31882013,195151,19.86408751,277.3965,256.411
655553,65.93147846,250509,25.08590819,103.7478,350.457
663513,66.58686733,203631,20.60851809,282.206,310.542
623216,62.53774222,255342,25.89509857,276.0211,175.415
632426,63.40726589,261730,26.29171521,182.922,166.996
631112,63.18656973,214937,21.82693141,269.122,222.688
642614,64.43715247,205150,20.86396411,227.6143,255.776
670725,67.12360336,270136,27.02654915,245.1765,15.986
624730,62.79164963,260251,26.04741402,248.6067,173.157
653216,65.53788463,235402,23.90068642,93.3598,309.493
651836,65.31005008,272927,27.4908973,100.2807,69.786
653748,65.62993755,293712,29.62013789,204.7896,68.518
661648,66.28012999,311319,31.22195209,299.1994,59.289
632452,63.41443275,242627,24.44079518,184.4771,196.046
644704,64.78444716,210737,21.12686001,206.2178,264.917
642021,64.33905623,204729,20.791262,234.5602,253.516
644610,64.76939369,241537,24.26020873,62.9481,245.154
660946,66.16277452,211544,21.26211379,231.6847,305.423
660126,66.02402549,200105,20.01801574,275.0278,296.609
670121,67.02243334,265926,26.99056901,233.9799,16.446
655051,65.84758162,204947,20.82970593,233.5835,295.532
634235,63.70972895,300223,30.03972124,263.4518,121.266
655939,65.99424508,225312,22.88673373,161.4505,313.741
663321,66.55573503,242532,24.42543446,178.119,345.03
641411,64.23636764,272722,27.45599021,128.248,131.374
643640,64.61122077,224420,22.73897953,136.5189,252.176
641536,64.25994708,275749,27.9636352,145.4845,123.964
